company,date,year,month,close
VCS,2020-01-01,2020,1,42430.0
VCS,2020-02-01,2020,2,44640.0
VCS,2020-03-01,2020,3,35260.0
VCS,2020-04-01,2020,4,41447.0
VCS,2020-05-01,2020,5,44574.0
VCS,2020-06-01,2020,6,40715.0
VCS,2020-07-01,2020,7,37389.0
VCS,2020-08-01,2020,8,42245.0
VCS,2020-09-01,2020,9,48698.0
VCS,2020-10-01,2020,10,48100.0
VCS,2020-11-01,2020,11,52890.0
VCS,2020-12-01,2020,12,59488.0
VCS,2021-01-01,2021,1,51165.0
VCS,2021-02-01,2021,2,58806.0
VCS,2021-03-01,2021,3,66310.0
VCS,2021-04-01,2021,4,61398.0
VCS,2021-05-01,2021,5,65491.0
VCS,2021-06-01,2021,6,75630.0
VCS,2021-07-01,2021,7,82512.0
VCS,2021-08-01,2021,8,84458.0
VCS,2021-09-01,2021,9,89602.0
VCS,2021-10-01,2021,10,89185.0
VCS,2021-11-01,2021,11,84041.0
VCS,2021-12-01,2021,12,82728.0
VCS,2022-01-01,2022,1,73677.0
VCS,2022-02-01,2022,2,75940.0
VCS,2022-03-01,2022,3,83082.0
VCS,2022-04-01,2022,4,72263.0
VCS,2022-05-01,2022,5,65758.0
VCS,2022-06-01,2022,6,54368.0
VCS,2022-07-01,2022,7,53272.0
VCS,2022-08-01,2022,8,55683.0
VCS,2022-09-01,2022,9,47937.0
VCS,2022-10-01,2022,10,37049.0
VCS,2022-11-01,2022,11,38438.0
VCS,2022-12-01,2022,12,43463.0
VCS,2023-01-01,2023,1,42999.0
VCS,2023-02-01,2023,2,38668.0
VCS,2023-03-01,2023,3,38978.0
VCS,2023-04-01,2023,4,38978.0
VCS,2023-05-01,2023,5,44005.0
VCS,2023-06-01,2023,6,48355.0
VCS,2023-07-01,2023,7,50433.0
VCS,2023-08-01,2023,8,53950.0
VCS,2023-09-01,2023,9,51153.0
VCS,2023-10-01,2023,10,40203.0
VCS,2023-11-01,2023,11,46197.0
VCS,2023-12-01,2023,12,45535.0
VCS,2024-01-01,2024,1,48764.0
VCS,2024-02-01,2024,2,53731.0
VCS,2024-03-01,2024,3,59692.0
VCS,2024-04-01,2024,4,52075.0
VCS,2024-05-01,2024,5,57374.0
VCS,2024-06-01,2024,6,62335.0
VCS,2024-07-01,2024,7,57077.0
VCS,2024-08-01,2024,8,56822.0
VCS,2024-09-01,2024,9,54872.0
