company,date,year,month,close,Ratio,phan_ung,price_change_pct,sentiment_ratio_change_pct,price_idx,ratio_idx
PNJ,2024-07-01,2024,7,61801.0,3.568093385214008,None,16.16,-15.65,168.8551912568306,75.00909912986053
PNJ,2024-08-01,2024,8,65047.0,3.568093385214008,None,16.16,-15.65,177.724043715847,75.00909912986053
PNJ,2024-09-01,2024,9,62883.0,3.568093385214008,None,16.16,-15.65,171.81147540983605,75.00909912986053
PNJ,2024-10-01,2024,10,61207.0,3.568093385214008,None,16.16,-15.65,167.23224043715848,75.00909912986053
PNJ,2024-11-01,2024,11,59980.0,3.568093385214008,None,16.16,-15.65,163.87978142076503,75.00909912986053
PNJ,2024-12-01,2024,12,63208.0,3.568093385214008,None,16.16,-15.65,172.69945355191257,75.00909912986053
PNJ,2025-01-01,2025,1,63014.0,3.841698841698842,None,1.33,7.67,172.16939890710384,80.76088211093032
PNJ,2025-02-01,2025,2,61063.0,3.841698841698842,None,1.33,7.67,166.83879781420765,80.76088211093032
PNJ,2025-03-01,2025,3,54112.0,3.841698841698842,None,1.33,7.67,147.84699453551912,80.76088211093032
PNJ,2025-04-01,2025,4,46187.0,3.841698841698842,None,1.33,7.67,126.19398907103825,80.76088211093032
PNJ,2025-05-01,2025,5,53592.0,3.841698841698842,None,1.33,7.67,146.4262295081967,80.76088211093032
PNJ,2025-06-01,2025,6,53982.0,3.841698841698842,None,1.33,7.67,147.4918032786885,80.76088211093032
PNJ,2025-07-01,2025,7,54826.0,3.841698841698842,None,1.33,7.67,149.79781420765028,80.76088211093032
PNJ,2025-08-01,2025,8,55606.0,3.841698841698842,None,1.33,7.67,151.9289617486339,80.76088211093032
PNJ,2025-09-01,2025,9,54871.0,3.841698841698842,None,1.33,7.67,149.9207650273224,80.76088211093032
PNJ,2025-10-01,2025,10,62464.0,3.841698841698842,None,1.33,7.67,170.66666666666669,80.76088211093032
PNJ,2025-11-01,2025,11,60087.0,3.841698841698842,None,1.33,7.67,164.172131147541,80.76088211093032
PNJ,2025-12-01,2025,12,64049.00000000001,3.841698841698842,None,1.33,7.67,174.99726775956285,80.76088211093032
SSI,2020-01-01,2020,1,4645.0,5.830645161290323,None,,,100.0,100.0
SSI,2020-02-01,2020,2,4173.0,5.830645161290323,None,,,89.83853606027988,100.0
SSI,2020-03-01,2020,3,3044.0,5.830645161290323,None,,,65.53283100107643,100.0
SSI,2020-04-01,2020,4,3958.0,5.830645161290323,None,,,85.20990312163616,100.0
SSI,2020-05-01,2020,5,4506.0,5.830645161290323,None,,,97.0075349838536,100.0
SSI,2020-06-01,2020,6,4506.0,5.830645161290323,None,,,97.0075349838536,100.0
SSI,2020-07-01,2020,7,4388.0,5.830645161290323,None,,,94.46716899892358,100.0
SSI,2020-08-01,2020,8,4825.0,5.830645161290323,None,,,103.8751345532831,100.0
SSI,2020-09-01,2020,9,5489.0,5.830645161290323,None,,,118.17007534983854,100.0
SSI,2020-10-01,2020,10,5538.0,5.830645161290323,None,,,119.2249730893434,100.0
SSI,2020-11-01,2020,11,6234.0,5.830645161290323,None,,,134.20882669537139,100.0
SSI,2020-12-01,2020,12,10719.0,5.830645161290323,None,,,230.7642626480086,100.0
SSI,2021-01-01,2021,1,9326.0,5.760869565217392,None,132.83,-1.2,200.7750269106566,98.80329544771183
SSI,2021-02-01,2021,2,10751.0,5.760869565217392,None,132.83,-1.2,231.45317545748117,98.80329544771183
SSI,2021-03-01,2021,3,10282.0,5.760869565217392,None,132.83,-1.2,221.3562970936491,98.80329544771183
SSI,2021-04-01,2021,4,10557.0,5.760869565217392,None,132.83,-1.2,227.27664155005382,98.80329544771183
SSI,2021-05-01,2021,5,14378.0,5.760869565217392,None,132.83,-1.2,309.53713670613564,98.80329544771183
SSI,2021-06-01,2021,6,18154.0,5.760869565217392,None,132.83,-1.2,390.82884822389667,98.80329544771183
SSI,2021-07-01,2021,7,18022.0,5.760869565217392,None,132.83,-1.2,387.98708288482237,98.80329544771183
SSI,2021-08-01,2021,8,20399.0,5.760869565217392,None,132.83,-1.2,439.1603875134553,98.80329544771183
SSI,2021-09-01,2021,9,19585.0,5.760869565217392,None,132.83,-1.2,421.6361679224973,98.80329544771183
SSI,2021-10-01,2021,10,19513.0,5.760869565217392,None,132.83,-1.2,420.0861141011841,98.80329544771183
SSI,2021-11-01,2021,11,26932.0,5.760869565217392,None,132.83,-1.2,579.8062432723358,98.80329544771183
SSI,2021-12-01,2021,12,24957.0,5.760869565217392,None,132.83,-1.2,537.2874058127019,98.80329544771183
SSI,2022-01-01,2022,1,21705.0,5.517985611510792,Trung thực,-62.17,-4.22,467.2766415500538,94.6376508751505
SSI,2022-02-01,2022,2,22018.0,5.517985611510792,Trung thực,-62.17,-4.22,474.0150699677072,94.6376508751505
SSI,2022-03-01,2022,3,20235.0,5.517985611510792,Trung thực,-62.17,-4.22,435.62970936490854,94.6376508751505
SSI,2022-04-01,2022,4,16164.000000000002,5.517985611510792,Trung thực,-62.17,-4.22,347.9870828848224,94.6376508751505
SSI,2022-05-01,2022,5,14285.0,5.517985611510792,Trung thực,-62.17,-4.22,307.53498385360604,94.6376508751505
SSI,2022-06-01,2022,6,10026.0,5.517985611510792,Trung thực,-62.17,-4.22,215.84499461786865,94.6376508751505
SSI,2022-07-01,2022,7,11386.0,5.517985611510792,Trung thực,-62.17,-4.22,245.1237890204521,94.6376508751505
SSI,2022-08-01,2022,8,12799.0,5.517985611510792,Trung thực,-62.17,-4.22,275.54359526372446,94.6376508751505
SSI,2022-09-01,2022,9,10560.0,5.517985611510792,Trung thực,-62.17,-4.22,227.34122712594188,94.6376508751505
SSI,2022-10-01,2022,10,8693.0,5.517985611510792,Trung thực,-62.17,-4.22,187.14747039827773,94.6376508751505
SSI,2022-11-01,2022,11,10266.0,5.517985611510792,Trung thực,-62.17,-4.22,221.01184068891283,94.6376508751505
SSI,2022-12-01,2022,12,9440.0,5.517985611510792,Trung thực,-62.17,-4.22,203.2292787944026,94.6376508751505
SSI,2023-01-01,2023,1,11519.0,6.136,None,92.61,11.2,247.98708288482237,105.23706777316735
SSI,2023-02-01,2023,2,9733.0,6.136,None,92.61,11.2,209.53713670613564,105.23706777316735
SSI,2023-03-01,2023,3,11466.0,6.136,None,92.61,11.2,246.8460710441335,105.23706777316735
SSI,2023-04-01,2023,4,11493.0,6.136,None,92.61,11.2,247.42734122712596,105.23706777316735
SSI,2023-05-01,2023,5,12346.0,6.136,None,92.61,11.2,265.7911733046286,105.23706777316735
SSI,2023-06-01,2023,6,14301.0,6.136,None,92.61,11.2,307.8794402583423,105.23706777316735
SSI,2023-07-01,2023,7,16436.0,6.136,None,92.61,11.2,353.8428417653391,105.23706777316735
SSI,2023-08-01,2023,8,18514.0,6.136,None,92.61,11.2,398.57911733046285,105.23706777316735
SSI,2023-09-01,2023,9,17627.0,6.136,None,92.61,11.2,379.4833153928956,105.23706777316735
SSI,2023-10-01,2023,10,14274.0,6.136,None,92.61,11.2,307.29817007534984,105.23706777316735
SSI,2023-11-01,2023,11,17350.0,6.136,None,92.61,11.2,373.5199138858988,105.23706777316735
SSI,2023-12-01,2023,12,18182.0,6.136,None,92.61,11.2,391.4316469321852,105.23706777316735
SSI,2024-01-01,2024,1,19069.0,4.767772511848341,None,1.73,-22.3,410.5274488697524,81.77092551441139
SSI,2024-02-01,2024,2,20510.0,4.767772511848341,None,1.73,-22.3,441.55005382131327,81.77092551441139
SSI,2024-03-01,2024,3,21341.0,4.767772511848341,None,1.73,-22.3,459.4402583423036,81.77092551441139
SSI,2024-04-01,2024,4,19512.0,4.767772511848341,None,1.73,-22.3,420.06458557588803,81.77092551441139
SSI,2024-05-01,2024,5,19235.0,4.767772511848341,None,1.73,-22.3,414.1011840688913,81.77092551441139
SSI,2024-06-01,2024,6,18819.0,4.767772511848341,None,1.73,-22.3,405.14531754574807,81.77092551441139
SSI,2024-07-01,2024,7,17627.0,4.767772511848341,None,1.73,-22.3,379.4833153928956,81.77092551441139
SSI,2024-08-01,2024,8,18680.0,4.767772511848341,None,1.73,-22.3,402.1528525296017,81.77092551441139
SSI,2024-09-01,2024,9,19810.0,4.767772511848341,None,1.73,-22.3,426.4800861141012,81.77092551441139
SSI,2024-10-01,2024,10,18887.0,4.767772511848341,None,1.73,-22.3,406.6092572658773,81.77092551441139
SSI,2024-11-01,2024,11,17431.0,4.767772511848341,None,1.73,-22.3,375.2637244348762,81.77092551441139
SSI,2024-12-01,2024,12,18496.0,4.767772511848341,None,1.73,-22.3,398.19160387513455,81.77092551441139
SSI,2025-01-01,2025,1,17928.0,1.3625377643504533,None,30.73,-71.42,385.9634015069968,23.368559167283014
SSI,2025-02-01,2025,2,18674.0,1.3625377643504533,None,30.73,-71.42,402.0236813778256,23.368559167283014
SSI,2025-03-01,2025,3,18461.0,1.3625377643504533,None,30.73,-71.42,397.43810548977393,23.368559167283014
SSI,2025-04-01,2025,4,16295.000000000002,1.3625377643504533,None,30.73,-71.42,350.8073196986007,23.368559167283014
SSI,2025-05-01,2025,5,16650.0,1.3625377643504533,None,30.73,-71.42,358.44994617868673,23.368559167283014
SSI,2025-06-01,2025,6,17538.0,1.3625377643504533,None,30.73,-71.42,377.56727664155005,23.368559167283014
SSI,2025-07-01,2025,7,24283.0,1.3625377643504533,None,30.73,-71.42,522.7771797631863,23.368559167283014
SSI,2025-08-01,2025,8,29963.0,1.3625377643504533,None,30.73,-71.42,645.059203444564,23.368559167283014
SSI,2025-09-01,2025,9,28068.0,1.3625377643504533,None,30.73,-71.42,604.2626480086114,23.368559167283014
SSI,2025-10-01,2025,10,24973.0,1.3625377643504533,None,30.73,-71.42,537.6318622174381,23.368559167283014
SSI,2025-11-01,2025,11,23881.0,1.3625377643504533,None,30.73,-71.42,514.1227125941873,23.368559167283014
SSI,2025-12-01,2025,12,24179.0,1.3625377643504533,None,30.73,-71.42,520.5382131324004,23.368559167283014
VCS,2020-01-01,2020,1,42430.0,3.2176470588235295,None,,,100.0,100.0
VCS,2020-02-01,2020,2,44640.0,3.2176470588235295,None,,,105.20857883572943,100.0
VCS,2020-03-01,2020,3,35260.0,3.2176470588235295,None,,,83.10157907141173,100.0
VCS,2020-04-01,2020,4,41447.0,3.2176470588235295,None,,,97.68324298845157,100.0
VCS,2020-05-01,2020,5,44574.0,3.2176470588235295,None,,,105.05302851755833,100.0
VCS,2020-06-01,2020,6,40715.0,3.2176470588235295,None,,,95.95804855055385,100.0
